ev	intensity	ev	intensity
218	0.07878	86.538	0.15933
219	0.07673	86.924	0.16519
220	0.0928	87.31	0.17115
221	0.07574	87.696	0.17723
222	0.09421	88.082	0.18344
223	0.08743	88.468	0.18977
224	0.06629	88.854	0.1961
225	0.05196	89.24	0.20278
226	0.07648	89.626	0.20929
227	0.06434	90.012	0.21616
228	0.08203	90.398	0.22303
229	0.07992	90.784	0.23007
230	0.0566	91.17	0.23712
231	0.08446	91.556	0.24435
232	0.10249	91.942	0.25158
233	0.08731	92.328	0.25899
234	0.08433	92.714	0.26658
235	0.06089	93.1	0.27417
236	0.10809	93.486	0.28194
237	0.08938	93.872	0.28972
238	0.09366	94.258	0.29767
239	0.07187	94.644	0.3058
240	0.10959	95.03	0.31375
241	0.08113	95.416	0.32207
242	0.08944	95.802	0.33038
243	0.08183	96.188	0.3387
244	0.10163	96.574	0.34719
245	0.09172	96.96	0.35568
246	0.09573	97.346	0.36436
247	0.07143	97.732	0.37303
248	0.09422	98.118	0.38189
249	0.08883	98.504	0.39075
250	0.11233	98.89	0.3996
251	0.09964	99.276	0.40864
252	0.12205	99.662	0.41768
253	0.09896	100.048	0.42671
254	0.07417	100.434	0.43593
255	0.09041	100.82	0.44515
256	0.10047	101.206	0.45436
257	0.10008	101.592	0.46358
258	0.10086	101.978	0.47298
259	0.08939	102.364	0.48238
260	0.08366	102.75	0.49178
261	0.06929	103.136	0.50117
262	0.08014	103.522	0.51057
263	0.07369	103.908	0.52015
264	0.08386	104.294	0.52955
265	0.08679	104.68	0.53913
266	0.07815	105.066	0.54871
267	0.05648	105.452	0.55811
268	0.05867	105.838	0.56768
269	0.05871	106.224	0.57726
270	0.0486	106.61	0.58684
271	0.04789	106.996	0.59624
272	0.04066	107.382	0.60582
273	0.03414	107.768	0.61522
274	0.01962	108.154	0.6248
275	0.03055	108.54	0.63419
276	0.03274	108.926	0.64359
277	0.0182	109.312	0.65281
278	0.01821	109.698	0.66221
279	0.01967	110.084	0.67143
280	0.02552	110.47	0.68064
281	0.01094	110.856	0.68986
282	0.01095	111.242	0.6989
283	0.01899	111.628	0.70793
284	0.00658	112.014	0.71697
285	0.00658	112.4	0.72583
286	0.00512	112.786	0.73468
287	0.01098	113.172	0.74336
288	0.00366	113.558	0.75203
289	0.00293	113.944	0.76071
290	0.0044	114.33	0.7692
291	0.0044	114.716	0.77752
292	0.00294	115.102	0.78583
293	0.00294	115.488	0.79396
294	0.00514	115.874	0.80192
295	0.00294	116.26	0.80987
296	0	116.646	0.81782
297	0.00147	117.032	0.82541
298	0.00295	117.418	0.833
299	0.00368	117.804	0.84041
300	0.00589	118.19	0.84782
301	0	118.576	0.85505
302	0.00295	118.962	0.8621
303	0.00221	119.348	0.86897
304	0	119.734	0.87566
305	7.38E-04	120.12	0.88216
306	0.00148	120.506	0.88867
307	0	120.892	0.89499
308	0.00296	121.278	0.90114
309	0.00148	121.664	0.9071
310	0.00148	122.05	0.91289
311	0	122.436	0.91849
312	0.00148	122.822	0.92391
313	7.42E-04	123.208	0.92915
314	0.00148	123.594	0.93439
315	0.00149	123.98	0.93927
316	0.00149	124.366	0.94397
317	0	124.752	0.94849
318	0.00297	125.138	0.95301
319	7.44E-04	125.524	0.95717
320	0	125.91	0.96114
321	7.45E-04	126.296	0.96494
322	7.45E-04	126.682	0.96855
323	0.00149	127.068	0.97199
324	0	127.454	0.97524
325	7.46E-04	127.84	0.97831
326	0.00149	128.226	0.98102
327	7.47E-04	128.612	0.98373
328	0.00149	128.998	0.98626
329	0	129.384	0.98843
330	0.00224	129.77	0.99042
331	0	130.156	0.99241
332	0.003	130.542	0.99404
333	0	130.928	0.99548
334	0.00225	131.314	0.99675
335	0	131.7	0.99783
336	0.0015	132.086	0.99855
337	0	132.472	0.99928
338	7.51E-04	132.858	0.99982
339	7.52E-04	133.244	1
340	0.0015	133.63	1
341	0.0015	134.016	1
342	0	134.402	0.99964
343	0	134.788	0.9991
344	0.00151	135.174	0.99837
345	7.54E-04	135.56	0.99747
346	7.54E-04	135.946	0.99639
347	0.00226	136.332	0.99512
348	0	136.718	0.99367
349	0	137.104	0.99187
350	0.00151	137.49	0.99006
351	0	137.876	0.98807
352	0	138.262	0.9859
353	0	138.648	0.98355
354	0	139.034	0.98084
355	0.00151	139.42	0.97813
356	0	139.806	0.97524
357	0.00152	140.192	0.97217
358	7.58E-04	140.578	0.96891
359	0	140.964	0.96548
360	0	141.35	0.96205
361	0.00152	141.736	0.95825
362	0	142.122	0.95446
363	7.60E-04	142.508	0.9503
364	0	142.894	0.94614
365	7.60E-04	143.28	0.9418
366	7.62E-04	143.666	0.93747
367	0	144.052	0.93277
368	0	144.438	0.92807
369	0	144.824	0.92319
370	0	145.21	0.91813
371	0	145.596	0.91289
372	0	145.982	0.90765
373	0	146.368	0.90222
374	0	146.754	0.8968
375	7.65E-04	147.14	0.8912
376	0	147.526	0.88541
377	0	147.912	0.87963
378	0	148.298	0.87367
379	0	148.684	0.8677
380	0	149.07	0.86156
381	0	149.456	0.85523
382	0	149.842	0.84891
383	0	150.228	0.84258
384	0	150.614	0.83607
385	0	151	0.82939
386	0	151.386	0.82288
387	0	151.772	0.81601
388	0	152.158	0.80933
389	0	152.544	0.80246
390	0	152.93	0.79559
391	0	153.316	0.78854
392	0	153.702	0.78149
393	0	154.088	0.77444
394	0	154.474	0.7674
395	0	154.86	0.76017
396	0	155.246	0.75294
397	0	155.632	0.74571
398	0	156.018	0.73848
399	0	156.404	0.73125
400	0	156.79	0.72384
401	0	157.176	0.71643
402	0	157.562	0.7092
403	0	157.948	0.70179
404	0	158.334	0.69438
405	0	158.72	0.68697
406	0	159.106	0.67956
407	0	159.492	0.67215
408	0	159.878	0.66474
409	0	160.264	0.65715
410	0	160.65	0.64974
411	0	161.036	0.64233
412	0	161.422	0.63492
413	0	161.808	0.62751
414	0	162.194	0.62028
415	0	162.58	0.61287
416	0	162.966	0.60546
417	0	163.352	0.59823
418	0	163.738	0.59082
419	0	164.124	0.58359
420	0	164.51	0.57636
421	0	164.896	0.56913
422	0	165.282	0.56208
423	0	165.668	0.55485
424	0	166.054	0.5478
425	0	166.44	0.54076
426	0	166.826	0.53371
427	0	167.212	0.52666
428	0	167.598	0.51979
429	0	167.984	0.51292
430	0	168.37	0.50605
431	0	168.756	0.49937
432	0	169.142	0.4925
433	0	169.528	0.48581
434	0	169.914	0.47931
435	0	170.3	0.47262
436	0	170.686	0.46611
437	0	171.072	0.45979
438	0	171.458	0.45328
439	0	171.844	0.44695
440	0	172.23	0.44081
441	0	172.616	0.43448
442	0	173.002	0.42834
443	0	173.388	0.42237
444	0	173.774	0.41623
445	0	174.16	0.41045
446	0	174.546	0.40448
447	0	174.932	0.3987
448	0	175.318	0.39292
449	0	175.704	0.38731
450	0	176.09	0.38171
451	0	176.476	0.37611
452	0	176.862	0.37068
453	0	177.248	0.36526
454	0	177.634	0.36002
455	0	178.02	0.35478
456	0	178.406	0.34954
457	0	178.792	0.34448
458	0	179.178	0.33942
459	0	179.564	0.33436
460	0	179.95	0.32948
461	0	180.336	0.32478
462	0	180.722	0.3199
463	0	181.108	0.3152
464	0	181.494	0.31068
465	0	181.88	0.30616
466	0	182.266	0.30164
467	0	182.652	0.29731
468	0	183.038	0.29297
469	0	183.424	0.28863
470	0	183.81	0.28447
471	0	184.196	0.28032
472	0	184.582	0.27634
473	0	184.968	0.27237
474	0	185.354	0.26839
475	0	185.74	0.26459
476	0	186.126	0.2608
477	0	186.512	0.25718
478	0	186.898	0.25357
479	0	187.284	0.24995
480	0	187.67	0.24634
481	0	188.056	0.24291
482	0	188.442	0.23965
483	0	188.828	0.23622
484	0	189.214	0.23297
485	0	189.6	0.22989
486	0	189.986	0.22664
487	0	190.372	0.22357
488	0	190.758	0.22068
489	0	191.144	0.2176
490	0	191.53	0.21489
491	0	191.916	0.212
492	0	192.302	0.20929
493	0	192.688	0.20658
494	0	193.074	0.20387
495	0	193.46	0.20116
496	0	193.846	0.19863
497	0	194.232	0.19628
498	0	194.618	0.19375
499	0	195.004	0.1914
		195.39	0.18905
		195.776	0.1867
		196.162	0.18453
		196.548	0.18236
		196.934	0.18019
		197.32	0.1781
		197.706	0.17605
		198.092	0.17406
		198.478	0.17211
		198.864	0.17022
		199.25	0.16835
		199.636	0.16655
		200.022	0.16477
		200.408	0.16304
		200.794	0.16134
		201.18	0.1597
		201.566	0.15809
		201.952	0.15653
		202.338	0.155
		202.724	0.1535
		203.11	0.15205
		203.496	0.15062
		203.882	0.14925
		204.268	0.14789
		204.654	0.14659
		205.04	0.14531
		205.426	0.14406
		205.812	0.14285
		206.198	0.14166
		206.584	0.1405
		206.97	0.13938
		207.356	0.1383
		207.742	0.13723
		208.128	0.1362
		208.514	0.13519
		208.9	0.13421
		209.286	0.13326
		209.672	0.13233
		210.058	0.13143
		210.444	0.13054
		210.83	0.12969
		211.216	0.12886
		211.602	0.12807
		211.988	0.12727
		212.374	0.12651
		212.76	0.12577
		213.146	0.12505
		213.532	0.12434
		213.918	0.12366
		214.304	0.12301
		214.69	0.12236
		215.076	0.12172
		215.462	0.12113
		215.848	0.12053
		216.234	0.11995
		216.62	0.11939
		217.006	0.11883
		217.392	0.11831
		217.778	0.11778
		218.164	0.11728
		218.55	0.11679
		218.936	0.11632
		219.322	0.11585
		219.708	0.11538
		220.094	0.11495
		220.48	0.11451
		220.866	0.11408
		221.252	0.11366
		221.638	0.11327
		222.024	0.11287
		222.41	0.11247
		222.796	0.11209
		223.182	0.11171
		223.568	0.11135
		223.954	0.11099
		224.34	0.11063
		224.726	0.11028
		225.112	0.10994
		225.498	0.1096
		225.884	0.10925
		226.27	0.10893
		226.656	0.1086
		227.042	0.10828
		227.428	0.10795
		227.814	0.10763
		228.2	0.1073
		228.586	0.10698
		228.972	0.10667
		229.358	0.10634
		229.744	0.10604
		230.13	0.10571
		230.516	0.1054
		230.902	0.10508
		231.288	0.10475
		231.674	0.10445
		232.06	0.10412
		232.446	0.1038
		232.832	0.10347
		233.218	0.10313
		233.604	0.1028
		233.99	0.10246
		234.376	0.10213
		234.762	0.10179
		235.148	0.10143
		235.534	0.10108
		235.92	0.10072
