1,26.97,2.833E-7,-89.0633999999999
2,27.36,5.136E-7,-88.3792
3,27.75,7.549E-7,-87.695
4,28.13,1.007E-6,-87.0386
5,28.52,1.27E-6,-86.2544
6,28.9,1.545E-6,-85.4979999999999
7,29.29,1.831E-6,-84.8138000000001
8,29.68,2.128E-6,-84.1295999999999
9,30.06,2.436E-6,-83.4732
10,30.45,2.756E-6,-82.789
11,30.83,3.088E-6,-82.0326
12,31.22,3.431E-6,-81.3484
13,31.6,3.785E-6,-80.692
14,31.99,4.153E-6,-80.0078
15,32.38,4.532E-6,-79.3236
16,32.76,4.919E-6,-78.6672000000001
17,33.15,5.322E-6,-77.883
18,33.53,5.737E-6,-77.2266
19,33.92,6.17E-6,-76.5424
20,34.31,6.618E-6,-75.8582
21,34.69,7.08E-6,-75.2018000000001
22,35.08,7.554E-6,-74.5176
23,35.46,8.042E-6,-73.7612
24,35.85,8.54E-6,-73.077
25,36.24,9.049E-6,-72.3928
26,36.62,9.574E-6,-71.7364
27,37.01,1.01E-5,-71.0522000000001
28,37.39,1.065E-5,-70.3958
29,37.78,1.12E-5,-69.7116000000001
30,38.17,1.175E-5,-69.0273999999999
31,38.55,1.232E-5,-68.3709999999999
32,38.94,1.29E-5,-67.6868
33,39.32,1.347E-5,-66.9304
34,39.71,1.406E-5,-66.2461999999999
35,40.1,1.464E-5,-65.562
36,40.48,1.523E-5,-64.9056
37,40.87,1.582E-5,-64.2214
38,41.25,1.641E-5,-63.565
39,41.64,1.7E-5,-62.8808
40,42.03,1.759E-5,-62.1966
41,42.41,1.818E-5,-61.5402
42,42.8,1.876E-5,-60.856
43,43.18,1.933E-5,-60.2996
44,43.57,1.989E-5,-59.6154
45,43.96,2.042E-5,-58.9311999999999
46,44.34,2.094E-5,-58.2748
47,44.73,2.144E-5,-57.6906
48,45.11,2.192E-5,-57.0342
49,45.5,2.235E-5,-56.3500000000001
50,45.88,2.276E-5,-55.7936000000001
51,46.27,2.312E-5,-55.1094
52,46.66,2.345E-5,-54.4252000000001
53,47.04,2.372E-5,-53.8688000000001
54,47.43,2.395E-5,-53.1846
55,47.81,2.412E-5,-52.6282
56,48.2,2.422E-5,-51.9440000000001
57,48.59,2.426E-5,-51.3598
58,48.97,2.422E-5,-50.8034000000001
59,49.36,2.41E-5,-50.1192
60,49.74,2.389E-5,-49.5628
61,50.13,2.358E-5,-48.9786000000001
62,50.52,2.318E-5,-48.3944
63,50.9,2.264E-5,-47.7379999999999
64,51.29,2.201E-5,-47.1538000000001
65,51.67,2.124E-5,-46.5974
66,52.06,2.033E-5,-46.0132
67,52.45,1.928E-5,-45.4290000000001
68,52.83,1.809E-5,-44.8726
69,53.22,1.673E-5,-44.2884
70,53.6,1.519E-5,-43.732
71,53.99,1.348E-5,-43.1477999999999
72,54.38,1.157E-5,-42.5636
73,54.76,9.466E-6,-42.1072
74,55.15,7.139E-6,-41.5229999999999
75,55.53,4.588E-6,-40.9666000000001
76,55.92,1.798E-6,-40.4824
77,56.31,0,-39.8981999999999
78,56.69,0,-39.3418
79,57.08,0,-38.8576
80,57.46,0,-38.3011999999999
81,57.85,0,-37.817
82,58.24,0,-37.2328
83,58.62,0,-36.6764
84,59.01,0,-36.1922000000001
85,59.39,0,-35.7358000000001
86,59.78,0,-35.1516
87,60.17,0,-34.6674
88,60.55,0,-34.2109999999999
89,60.94,0,-33.7268
90,61.32,0,-33.2704
91,61.71,0,-32.7862
92,62.09,0,-32.3297999999999
93,62.48,0,-31.8455999999999
94,62.87,0,-31.3614
95,63.25,0,-31.005
96,63.64,0,-30.5208
97,64.02,0,-30.0644000000001
98,64.41,0,-29.6801999999999
99,64.8,0,-29.196
100,65.18,0,-28.8396
101,65.57,0,-28.3554
102,65.95,0,-27.999
103,66.34,0,-27.5148
104,66.73,0,-27.1305999999999
105,67.11,0,-26.6741999999999
106,67.5,0,-26.2900000000001
107,67.88,0,-25.9336
108,68.27,0,-25.5494
109,68.66,0,-25.1652
110,69.04,0,-24.8088000000001
111,69.43,0,-24.4246
112,69.81,0,-24.0682
113,70.2,0,-23.684
114,70.59,0,-23.2998
115,70.97,0,-22.9434
116,71.36,0,-22.5591999999999
117,71.74,0,-22.2028
118,72.13,0,-21.9186
119,72.52,0,-21.5344
120,72.9,0,-21.178
121,73.29,0,-20.8938
122,73.67,0,-20.5374
123,74.06,0,-20.2532
124,74.45,0,-19.869
125,74.83,0,-19.6126
126,75.22,0,-19.2284
127,75.6,0,-18.9719999999999
128,75.99,0,-18.6878
129,76.38,0,-18.3036
130,76.76,0,-18.0472
131,77.15,0,-17.763
132,77.53,0,-17.5066
133,77.92,0,-17.2224
134,78.3,0,-16.966
135,78.69,0,-16.6818
136,79.08,0,-16.3976000000001
137,79.46,0,-16.1412000000001
138,79.85,0,-15.857
139,80.23,0,-15.6006
140,80.62,0,-15.3164
141,81.01,0,-15.0322
142,81.39,0,-14.8758
143,81.78,0,-14.5916
144,82.16,0,-14.3351999999999
145,82.55,0,-14.051
146,82.94,0,-13.8668
147,83.32,0,-13.6104
148,83.71,0,-13.4261999999999
149,84.09,0,-13.1698000000001
150,84.48,0,-12.9855999999999
151,84.87,0,-12.7014
152,85.25,0,-12.545
153,85.64,0,-12.2608000000001
154,86.02,0,-12.1043999999999
155,86.41,0,-11.9202
156,86.8,0,-11.636
157,87.18,0,-11.4796
158,87.57,0,-11.2954
159,87.95,0,-11.139
160,88.34,0,-10.8548
161,88.73,0,-10.6706
162,89.11,0,-10.5142
163,89.5,0,-10.33
164,89.88,0,-10.1736
