Comments,,"Normalize to [0, 1] of B",,,,
100,40.604,0,-409.5,0,0,0
101,40.99,0,-408.9,0,0,0
102,41.376,0,-408.2,0,0,0
103,41.762,0,-407.6,0,0,0
104,42.148,0,-406.9,0,0,0
105,42.534,0,-406.3,0,0,0
106,42.92,0,-405.6,0,0,0
107,43.306,0,-404.9,0,0,0
108,43.692,0,-404.2,0,0,0
109,44.078,0,-403.5,0,0,0
110,44.464,0,-402.8,0,0,0
111,44.85,0,-402.1,0,0,0
112,45.236,0,-401.4,0,0,0
113,45.622,0,-400.7,0,0,0
114,46.008,0,-400,0,0,0
115,46.394,0,-399.3,0,0,0
116,46.78,0,-398.6,0,0,0
117,47.166,0,-397.9,0,0,0
118,47.552,0,-397.1,0,0,0
119,47.938,0,-396.4,0,0,0
120,48.324,0,-395.7,0,0,0
121,48.71,0,-394.9,0,0,0
122,49.096,0,-394.2,0,0,0
123,49.482,0,-393.4,0,0,0
124,49.868,0,-392.7,0,0,0
125,50.254,0,-391.9,0,0,0
126,50.64,0,-391.2,0,0,0
127,51.026,0,-390.4,0,0,0
128,51.412,0,-389.6,0,0,0
129,51.798,0,-388.9,0,0,0
130,52.184,0,-388.1,0,0,0
131,52.57,0,-387.3,0,0,3.142
132,52.956,0,-386.5,0,0,3.142
133,53.342,0,-385.7,0,0,0
134,53.728,0,-384.9,0,0,0
135,54.114,0,-384.1,0,0,0
136,54.5,0,-383.3,0,0,0
137,54.886,0,-382.5,0,0,0
138,55.272,0,-381.7,0,0,0
139,55.658,0,-380.9,0,0,0
140,56.044,0,-380.1,0,0,0
141,56.43,0,-379.3,0,0,0
142,56.816,0,-378.4,0,0,0
143,57.202,0,-377.6,0,0,0
144,57.588,0,-376.8,0,0,0
145,57.974,0,-376,0,0,0
146,58.36,0,-375.1,0,0,0
147,58.746,0,-374.3,0,0,0
148,59.132,0,-373.4,0,0,0
149,59.518,0,-372.6,0,0,0
150,59.904,0,-371.7,0,0,0
151,60.29,0,-370.9,0,0,0
152,60.676,0,-370,0,0,0
153,61.062,0,-369.2,0,0,0
154,61.448,0,-368.3,0,0,0
155,61.834,0,-367.4,0,0,0
156,62.22,0,-366.6,0,0,0
157,62.606,0,-365.7,0,0,0
158,62.992,0,-364.8,0,0,0
159,63.378,0,-363.9,0,0,0
160,63.764,0,-363.1,0,0,0
161,64.15,0,-362.2,0,0,0
162,64.536,0,-361.3,0,0,0
163,64.922,0,-360.4,0,0,0
164,65.308,0,-359.5,2.779,0,-1.796
165,65.694,0,-358.6,7.795,0,-1.802
166,66.08,4.63943611060907E-4,-357.7,13.4,3.673,-1.807
167,66.466,0.00130128320983192,-356.8,19.55,7.363,-1.812
168,66.852,0.00219410807879993,-355.9,28.86,7.314,-1.823
169,67.238,0.00314296041930237,-355,40.79,7.383,-1.833
170,67.624,0.0041514549069221,-354.1,53.47,7.706,-1.843
171,68.01,0.00521959154165914,-353.2,66.9,8.102,-1.852
172,68.396,0.0063491776613049,-352.2,81.11,8.533,-1.861
173,68.782,0.00754382794144226,-351.3,96.12,8.989,-1.869
174,69.168,0.00880354238207121,-350.4,112,9.465,-1.877
175,69.554,0.0101319356587746,-349.5,128.6,9.957,-1.885
176,69.94,0.0115290077715525,-348.6,146.2,10.46,-1.892
177,70.326,0.0129965660581963,-347.6,164.6,10.99,-1.899
178,70.712,0.0145382251942888,-346.7,184,11.52,-1.906
179,71.098,0.0161539851798301,-345.8,204.3,12.07,-1.913
180,71.484,0.0178456533526116,-344.8,225.5,12.63,-1.92
181,71.87,0.0196096150370504,-343.9,247.8,13.21,-1.926
182,72.256,0.0214711729622266,-343,271,13.8,-1.933
183,72.642,0.0234050243990602,-342,295.3,14.4,-1.939
184,73.028,0.0254111693475511,-341.1,320.6,15.02,-1.945
185,73.414,0.0275076811856136,-340.1,346.9,15.64,-1.951
186,73.8,0.0297126332911621,-339.2,374.4,16.28,-1.956
187,74.186,0.0319718055304536,-338.2,403,16.93,-1.962
188,74.572,0.0343394180372312,-337.3,432.7,17.59,-1.967
189,74.958,0.0367973974335803,-336.3,463.5,18.27,-1.973
190,75.344,0.0393457437195012,-335.4,495.5,18.96,-1.978
191,75.73,0.042002530272908,-334.4,528.7,19.65,-1.983
192,76.116,0.0447316103379722,-333.4,563.1,20.36,-1.988
193,76.502,0.0475872040484366,-332.5,598.7,21.08,-1.993
194,76.888,0.0505150912705585,-331.5,635.5,21.81,-1.998
195,77.274,0.0535514187601663,-330.5,673.7,22.55,-2.003
196,77.66,0.0566961865172601,-329.6,713,23.29,-2.007
197,78.046,0.0599313211639255,-328.6,753.7,24.05,-2.012
198,78.432,0.0632929694559913,-327.6,795.7,24.82,-2.017
199,78.818,0.0667449846376288,-326.7,839,25.59,-2.021
200,79.204,0.0703054400867522,-325.7,883.6,26.38,-2.025
201,79.59,0.0739562624254473,-324.7,929.6,27.17,-2.03
202,79.976,0.0777335984095427,-323.7,977,27.97,-2.034
203,80.362,0.0816193746611242,-322.7,1026,28.78,-2.038
204,80.748,0.0856316645581059,-321.8,1076,29.59,-2.042
205,81.134,0.0897343213446593,-320.8,1127,30.41,-2.046
206,81.52,0.0939454183986987,-319.8,1180,31.24,-2.05
207,81.906,0.0982830290981384,-318.8,1235,32.07,-2.054
208,82.292,0.102729080065064,-317.8,1290,32.9,-2.058
209,82.678,0.10730164467739,-316.8,1348,33.74,-2.062
210,83.064,0.111982649557202,-315.8,1406,34.59,-2.065
211,83.45,0.1167720947045,-314.8,1466,35.44,-2.069
212,83.836,0.121688053497199,-313.8,1528,36.29,-2.073
213,84.222,0.126712452557383,-312.8,1591,37.14,-2.076
214,84.608,0.131863365262968,-311.8,1655,38,-2.08
215,84.994,0.137122718236038,-310.8,1721,38.86,-2.083
216,85.38,0.142490511476595,-309.8,1789,39.72,-2.087
217,85.766,0.147984818362552,-308.8,1858,40.57,-2.09
218,86.152,0.153605638893909,-307.8,1928,41.43,-2.093
219,86.538,0.159334899692753,-306.8,2000,42.29,-2.097
220,86.924,0.165190674136996,-305.8,2073,43.15,-2.1
221,87.31,0.171154888848726,-304.8,2148,44,-2.103
222,87.696,0.177227543827941,-303.8,2224,44.85,-2.106
223,88.082,0.183444785830472,-302.8,2302,45.7,-2.109
224,88.468,0.189770468100488,-301.7,2381,46.54,-2.113
225,88.854,0.196096150370504,-300.7,2461,47.38,-2.116
226,89.24,0.202783300198807,-299.7,2543,48.22,-2.119
227,89.626,0.209289716247967,-298.7,2627,49.05,-2.121
228,90.012,0.216157599855413,-297.7,2712,49.87,-2.124
229,90.398,0.223025483462859,-296.7,2798,50.68,-2.127
230,90.784,0.230074100849449,-295.6,2885,51.49,-2.13
231,91.17,0.237122718236038,-294.6,2974,52.29,-2.133
232,91.556,0.244352069401771,-293.6,3065,53.07,-2.136
233,91.942,0.251581420567504,-292.6,3156,53.85,-2.138
234,92.328,0.25899150551238,-291.5,3249,54.62,-2.141
235,92.714,0.2665823242364,-290.5,3344,55.38,-2.144
236,93.1,0.274173142960419,-289.5,3439,56.12,-2.146
237,93.486,0.281944695463582,-288.4,3536,56.85,-2.149
238,93.872,0.289716247966745,-287.4,3634,57.57,-2.151
239,94.258,0.297668534249051,-286.4,3734,58.27,-2.154
240,94.644,0.305801554310501,-285.3,3834,58.96,-2.156
241,95.03,0.313753840592807,-284.3,3936,59.64,-2.159
242,95.416,0.3220675944334,-283.3,4038,60.3,-2.161
243,95.802,0.330381348273992,-282.2,4142,60.94,-2.163
244,96.188,0.338695102114585,-281.2,4247,61.56,-2.166
245,96.574,0.347189589734321,-280.1,4353,62.16,-2.168
246,96.96,0.355684077354057,-279.1,4460,62.75,-2.17
247,97.346,0.364359298752937,-278.1,4568,63.32,-2.172
248,97.732,0.373034520151816,-277,4677,63.86,-2.174
249,98.118,0.381890475329839,-276,4787,64.39,-2.176
250,98.504,0.390746430507862,-274.9,4898,64.89,-2.178
251,98.89,0.399602385685885,-273.9,5010,65.38,-2.18
252,99.276,0.408639074643051,-272.8,5122,65.84,-2.182
253,99.662,0.417675763600217,-271.8,5235,66.27,-2.184
254,100.048,0.426712452557383,-270.7,5349,66.68,-2.186
255,100.434,0.435929875293692,-269.7,5464,67.07,-2.188
256,100.82,0.445147298030002,-268.6,5579,67.43,-2.19
257,101.206,0.454364720766311,-267.6,5695,67.77,-2.192
258,101.592,0.463582143502621,-266.5,5811,68.08,-2.193
259,101.978,0.472980300018073,-265.5,5928,68.37,-2.195
260,102.364,0.482378456533526,-264.4,6046,68.63,-2.197
261,102.75,0.491776613048979,-263.4,6164,68.86,-2.198
262,103.136,0.501174769564432,-262.3,6282,69.06,-2.2
263,103.522,0.510572926079884,-261.3,6400,69.23,-2.201
264,103.908,0.52015181637448,-260.2,6519,69.38,-2.203
265,104.294,0.529549972889933,-259.1,6638,69.49,-2.204
266,104.68,0.539128863184529,-258.1,6757,69.58,-2.205
267,105.066,0.548707753479125,-257,6876,69.64,-2.207
268,105.452,0.558105909994578,-256,6996,69.66,-2.208
269,105.838,0.567684800289174,-254.9,7115,69.66,-2.209
270,106.224,0.57726369058377,-253.8,7235,69.62,-2.21
271,106.61,0.586842580878366,-252.8,7354,69.55,-2.211
272,106.996,0.596240737393819,-251.7,7473,69.46,-2.212
273,107.382,0.605819627688415,-250.6,7592,69.33,-2.213
274,107.768,0.615217784203868,-249.6,7711,69.16,-2.214
275,108.154,0.624796674498464,-248.5,7829,68.97,-2.215
276,108.54,0.634194831013916,-247.4,7947,68.74,-2.215
277,108.926,0.643592987529369,-246.4,8065,68.49,-2.216
278,109.312,0.652810410265679,-245.3,8182,68.2,-2.216
279,109.698,0.662208566781131,-244.2,8298,67.87,-2.217
280,110.084,0.671425989517441,-243.2,8414,67.52,-2.217
281,110.47,0.68064341225375,-242.1,8530,67.13,-2.218
282,110.856,0.68986083499006,-241,8645,66.71,-2.218
283,111.242,0.698897523947226,-240,8759,66.26,-2.218
284,111.628,0.707934212904392,-238.9,8872,65.77,-2.218
285,112.014,0.716970901861558,-237.8,8984,65.26,-2.218
286,112.4,0.725826857039581,-236.7,9096,64.71,-2.218
287,112.786,0.734682812217603,-235.7,9206,64.13,-2.218
288,113.172,0.743358033616483,-234.6,9316,63.51,-2.218
289,113.558,0.752033255015362,-233.5,9424,62.87,-2.217
290,113.944,0.760708476414242,-232.5,9531,62.19,-2.217
291,114.33,0.769202964033978,-231.4,9637,61.49,-2.216
292,114.716,0.777516717874571,-230.3,9742,60.75,-2.215
293,115.102,0.785830471715164,-229.2,9846,59.99,-2.215
294,115.488,0.793963491776613,-228.2,9948,59.19,-2.214
295,115.874,0.801915778058919,-227.1,10050,58.36,-2.213
296,116.26,0.809868064341225,-226,10150,57.51,-2.212
297,116.646,0.817820350623532,-224.9,10250,56.63,-2.21
298,117.032,0.825411169347551,-223.9,10340,55.72,-2.209
299,117.418,0.83300198807157,-222.8,10440,54.78,-2.207
300,117.804,0.840412073016447,-221.7,10530,53.81,-2.206
301,118.19,0.847822157961323,-220.6,10620,52.82,-2.204
302,118.576,0.855051509127056,-219.5,10710,51.8,-2.202
303,118.962,0.862100126513645,-218.5,10800,50.76,-2.2
304,119.348,0.868968010121091,-217.4,10890,49.69,-2.197
305,119.734,0.875655159949394,-216.3,10970,48.6,-2.195
306,120.12,0.882161575998554,-215.2,11050,47.48,-2.192
307,120.506,0.888667992047714,-214.2,11130,46.34,-2.19
308,120.892,0.89499367431773,-213.1,11210,45.18,-2.187
309,121.278,0.901138622808603,-212,11290,44,-2.183
310,121.664,0.907102837520332,-210.9,11360,42.8,-2.18
311,122.05,0.912886318452919,-209.8,11440,41.58,-2.176
312,122.436,0.918489065606362,-208.8,11510,40.34,-2.173
313,122.822,0.923911078980661,-207.7,11580,39.08,-2.169
314,123.208,0.929152358575818,-206.6,11640,37.81,-2.164
315,123.594,0.934393638170974,-205.5,11710,36.52,-2.16
316,123.98,0.939273450207844,-204.5,11770,35.21,-2.155
317,124.366,0.94397252846557,-203.4,11830,33.89,-2.149
318,124.752,0.948490872944153,-202.3,11880,32.55,-2.144
319,125.138,0.953009217422736,-201.2,11940,31.21,-2.138
320,125.524,0.957166094343033,-200.1,11990,29.85,-2.131
321,125.91,0.961142237484186,-199.1,12040,28.48,-2.124
322,126.296,0.964937646846196,-198,12090,27.1,-2.117
323,126.682,0.968552322429062,-196.9,12130,25.71,-2.109
324,127.068,0.971986264232785,-195.8,12180,24.31,-2.1
325,127.454,0.975239472257365,-194.7,12220,22.9,-2.09
326,127.84,0.978311946502801,-193.7,12260,21.49,-2.079
327,128.226,0.981022953189951,-192.6,12290,20.08,-2.066
328,128.612,0.983733959877101,-191.5,12320,18.66,-2.053
329,128.998,0.986264232785107,-190.4,12360,17.24,-2.037
330,129.384,0.988433038134827,-189.4,12380,15.82,-2.018
331,129.77,0.990421109705404,-188.3,12410,14.41,-1.997
332,130.156,0.99240918127598,-187.2,12430,12.99,-1.971
333,130.542,0.99403578528827,-186.1,12450,11.59,-1.94
334,130.928,0.995481655521417,-185.1,12470,10.2,-1.9
335,131.314,0.99674679197542,-184,12490,8.823,-1.849
336,131.7,0.99783119465028,-182.9,12500,7.48,-1.78
337,132.086,0.998554129766853,-181.8,12510,6.187,-1.682
338,132.472,0.999277064883427,-180.7,12520,4.982,-1.537
339,132.858,0.999819266220857,-179.7,12530,3.943,-1.31
340,133.244,1,-178.6,12530,3.23,-0.957
341,133.63,1,-177.5,12530,3.071,-0.5001
342,134.016,1,-176.4,12530,3.536,-0.08711
343,134.402,0.999638532441713,-175.4,12520,4.425,0.1943
344,134.788,0.999096331104283,-174.3,12520,5.531,0.3723
345,135.174,0.99837339598771,-173.2,12510,6.743,0.4885
