Comments,,"Normalize to [0, 1] of B",,,,
472,184.196,0.280318091451292,-40.33,3516,29.96,1.01
473,184.582,0.276341948310139,-39.33,3465,29.46,1.011
474,184.968,0.272365805168986,-38.33,3415,28.95,1.013
475,185.354,0.268389662027833,-37.33,3366,28.46,1.014
476,185.74,0.264594252665823,-36.33,3318,27.96,1.015
477,186.126,0.260798843303813,-35.34,3271,27.47,1.016
478,186.512,0.257184167720947,-34.34,3224,26.98,1.017
479,186.898,0.253569492138081,-33.35,3179,26.5,1.019
480,187.284,0.249954816555214,-32.35,3134,26.02,1.02
481,187.67,0.246340140972348,-31.36,3090,25.54,1.021
482,188.056,0.242906199168625,-30.37,3047,25.07,1.022
483,188.442,0.239652991144045,-29.38,3004,24.6,1.023
484,188.828,0.236219049340322,-28.39,2963,24.14,1.024
485,189.214,0.232965841315742,-27.4,2922,23.68,1.025
486,189.6,0.229893367070305,-26.41,2882,23.23,1.027
487,189.986,0.226640159045726,-25.42,2843,22.78,1.028
488,190.372,0.223567684800289,-24.44,2804,22.33,1.029
489,190.758,0.220675944333996,-23.45,2767,21.9,1.03
490,191.144,0.21760347008856,-22.47,2730,21.46,1.031
491,191.53,0.21489246340141,-21.49,2694,21.03,1.032
492,191.916,0.212000722935117,-20.51,2658,20.61,1.033
493,192.302,0.209289716247967,-19.52,2623,20.19,1.034
494,192.688,0.206578709560817,-18.54,2589,19.77,1.035
495,193.074,0.203867702873667,-17.57,2556,19.37,1.035
496,193.46,0.201156696186517,-16.59,2523,18.96,1.036
497,193.846,0.198626423278511,-15.61,2491,18.57,1.037
498,194.232,0.196276884149648,-14.63,2460,18.17,1.038
499,194.618,0.193746611241641,-13.66,2430,17.79,1.039
500,195.004,0.191397072112778,-12.69,2400,17.41,1.039
501,195.39,0.189047532983915,-11.71,2370,17.03,1.04
502,195.776,0.186697993855051,-10.74,2342,16.66,1.041
503,196.162,0.184529188505332,-9.768,2314,16.29,1.041
504,196.548,0.182360383155612,-8.798,2286,15.93,1.042
505,196.934,0.180191577805892,-7.829,2259,15.58,1.042
506,197.32,0.178095065967829,-6.86,2233,15.23,1.042
507,197.706,0.17605277426351,-5.893,2208,14.89,1.043
508,198.092,0.174064702692933,-4.926,2183,14.55,1.043
509,198.478,0.172112777878185,-3.961,2158,14.22,1.043
510,198.864,0.170215073197181,-2.996,2134,13.9,1.043
511,199.25,0.168353515272004,-2.032,2111,13.57,1.043
512,199.636,0.166546177480571,-1.07,2088,13.26,1.043
513,200.022,0.164774986444967,-0.108,2066,12.95,1.043
514,200.408,0.163039942165191,0.8529,2044,12.65,1.043
515,200.794,0.161341044641243,1.813,2023,12.35,1.042
516,201.18,0.159696367251039,2.772,2003,12.05,1.042
517,201.566,0.158087836616664,3.73,1982,11.77,1.041
518,201.952,0.156533526116031,4.687,1963,11.48,1.041
519,202.338,0.154997288993313,5.643,1944,11.21,1.04
520,202.724,0.153497198626423,6.598,1925,10.93,1.039
521,203.11,0.152051328393277,7.552,1907,10.67,1.038
522,203.496,0.150623531538044,8.505,1889,10.41,1.037
523,203.882,0.149249954816555,9.458,1871,10.15,1.035
524,204.268,0.14789445147298,10.41,1854,9.9,1.034
525,204.654,0.146593168263148,11.36,1838,9.655,1.032
526,205.04,0.145309958431231,12.31,1822,9.414,1.03
527,205.426,0.144062895355142,13.26,1806,9.179,1.028
528,205.812,0.142851979034882,14.21,1791,8.949,1.025
529,206.198,0.141659136092536,15.15,1776,8.724,1.023
530,206.584,0.140502439906018,16.1,1762,8.505,1.02
531,206.97,0.13938189047533,17.04,1748,8.29,1.017
532,207.356,0.13829748780047,17.99,1734,8.08,1.014
533,207.742,0.137231158503524,18.93,1721,7.876,1.011
534,208.128,0.136200975962407,19.87,1708,7.676,1.007
535,208.514,0.135188866799205,20.81,1695,7.481,1.003
536,208.9,0.134212904391831,21.75,1683,7.292,0.9986
537,209.286,0.133255015362371,22.69,1671,7.107,0.9941
538,209.672,0.13233327308874,23.63,1659,6.927,0.9893
539,210.058,0.131429604193024,24.57,1648,6.752,0.9841
540,210.444,0.130544008675221,25.5,1637,6.582,0.9787
541,210.83,0.129694559913248,26.44,1626,6.416,0.973
542,211.216,0.128863184529188,27.37,1616,6.256,0.9669
543,211.602,0.128067955900958,28.3,1606,6.1,0.9605
544,211.988,0.127272727272727,29.24,1596,5.949,0.9537
545,212.374,0.126513645400325,30.17,1586,5.803,0.9466
546,212.76,0.125772636905838,31.1,1577,5.662,0.9392
547,213.146,0.125049701789264,32.03,1568,5.525,0.9314
548,213.532,0.124344840050605,32.95,1559,5.393,0.9233
549,213.918,0.123658051689861,33.88,1550,5.266,0.9148
550,214.304,0.123007410084945,34.81,1542,5.143,0.906
551,214.69,0.122356768480029,35.73,1534,5.025,0.8968
552,215.076,0.121724200253027,36.66,1526,4.912,0.8874
553,215.462,0.121127778781854,37.58,1518,4.803,0.8776
554,215.848,0.120531357310681,38.5,1511,4.699,0.8675
555,216.234,0.119953009217423,39.42,1504,4.599,0.8571
556,216.62,0.119392734502078,40.34,1497,4.503,0.8465
557,217.006,0.118832459786734,41.26,1490,4.413,0.8356
558,217.392,0.118308331827219,42.17,1483,4.326,0.8245
559,217.778,0.117784203867703,43.09,1477,4.244,0.8133
560,218.164,0.117278149286102,44,1470,4.166,0.8019
561,218.55,0.116790168082415,44.92,1464,4.092,0.7903
562,218.936,0.116320260256642,45.83,1458,4.023,0.7787
563,219.322,0.115850352430869,46.74,1452,3.957,0.7671
564,219.708,0.115380444605097,47.65,1446,3.895,0.7555
565,220.094,0.114946683535153,48.56,1441,3.838,0.7439
566,220.48,0.114512922465209,49.47,1435,3.784,0.7324
567,220.866,0.114079161395265,50.37,1430,3.733,0.7211
568,221.252,0.113663473703235,51.28,1425,3.687,0.71
569,221.638,0.11326585938912,52.18,1420,3.643,0.6991
570,222.024,0.112868245075005,53.08,1415,3.603,0.6885
571,222.41,0.112470630760889,53.98,1410,3.567,0.6782
572,222.796,0.112091089824688,54.88,1405,3.533,0.6683
573,223.182,0.111711548888487,55.78,1400,3.503,0.6589
574,223.568,0.111350081330201,56.67,1396,3.475,0.6499
575,223.954,0.110988613771914,57.57,1391,3.45,0.6415
576,224.34,0.110627146213627,58.46,1387,3.427,0.6336
577,224.726,0.110283752033255,59.36,1382,3.408,0.6263
578,225.112,0.109940357852883,60.25,1378,3.39,0.6196
579,225.498,0.10959696367251,61.14,1374,3.375,0.6136
580,225.884,0.109253569492138,62.02,1369,3.361,0.6083
581,226.27,0.10892824868968,62.91,1365,3.35,0.6036
582,226.656,0.108602927887222,63.8,1361,3.341,0.5997
583,227.042,0.108277607084764,64.68,1357,3.333,0.5965
584,227.428,0.107952286282306,65.56,1353,3.327,0.5941
585,227.814,0.107626965479848,66.44,1349,3.323,0.5924
586,228.2,0.10730164467739,67.32,1345,3.32,0.5915
587,228.586,0.106976323874932,68.2,1341,3.318,0.5914
588,228.972,0.106669076450389,69.08,1337,3.318,0.592
589,229.358,0.106343755647931,69.95,1333,3.319,0.5934
590,229.744,0.106036508223387,70.82,1329,3.321,0.5956
591,230.13,0.105711187420929,71.7,1325,3.325,0.5986
592,230.516,0.105403939996385,72.57,1321,3.329,0.6023
593,230.902,0.105078619193927,73.43,1317,3.334,0.6067
594,231.288,0.104753298391469,74.3,1313,3.341,0.6119
595,231.674,0.104446050966926,75.17,1309,3.348,0.6178
596,232.06,0.104120730164468,76.03,1305,3.356,0.6244
597,232.446,0.10379540936201,76.89,1301,3.365,0.6316
598,232.832,0.103470088559552,77.75,1297,3.375,0.6396
599,233.218,0.103126694379179,78.61,1293,3.386,0.6481
600,233.604,0.102801373576721,79.47,1288,3.398,0.6574
601,233.99,0.102457979396349,80.33,1284,3.41,0.6672
602,234.376,0.102132658593891,81.18,1280,3.423,0.6775
603,234.762,0.101789264413519,82.03,1276,3.437,0.6885
604,235.148,0.101427796855232,82.88,1271,3.452,0.6999
605,235.534,0.10108440267486,83.73,1267,3.468,0.7119
606,235.92,0.100722935116573,84.58,1262,3.485,0.7243
607,236.306,0.100361467558287,85.43,1258,3.503,0.7372
608,236.692,0.1,86.27,1253,3.521,0.7504
609,237.078,0.099620459063799,87.12,1249,3.54,0.7641
610,237.464,0.0992589915055124,87.96,1244,3.561,0.778
611,237.85,0.0988613771913971,88.8,1239,3.582,0.7923
612,238.236,0.0984818362551961,89.64,1234,3.604,0.8069
613,238.622,0.0980842219410808,90.47,1229,3.628,0.8217
614,239.008,0.0976866076269655,91.31,1224,3.652,0.8367
615,239.394,0.0972709199349358,92.14,1219,3.677,0.8519
616,239.78,0.0968733056208205,92.97,1214,3.704,0.8672
617,240.166,0.0964395445508765,93.81,1209,3.731,0.8827
618,240.552,0.0960238568588469,94.64,1203,3.76,0.8982
619,240.938,0.0955900957889029,95.46,1198,3.789,0.9137
620,241.324,0.0951382613410446,96.29,1192,3.82,0.9293
621,241.71,0.0947045002711007,97.11,1187,3.851,0.9448
622,242.096,0.094234592445328,97.94,1181,3.884,0.9603
623,242.482,0.0937827579974697,98.76,1175,3.917,0.9756
624,242.868,0.0933128501716971,99.58,1169,3.952,0.9909
625,243.254,0.0928248689680101,100.4,1163,3.987,1.006
626,243.64,0.0923549611422375,101.2,1157,4.024,1.021
627,244.026,0.0918489065606362,102,1151,4.061,1.036
628,244.412,0.0913609253569492,102.8,1145,4.099,1.05
629,244.798,0.0908548707753479,103.7,1138,4.138,1.065
630,245.184,0.0903307428158323,104.5,1132,4.178,1.079
631,245.57,0.0898066148563166,105.3,1125,4.218,1.092
632,245.956,0.089282486896801,106.1,1119,4.259,1.106
633,246.342,0.088740285559371,106.9,1112,4.301,1.119
634,246.728,0.0881980842219411,107.7,1105,4.343,1.132
635,247.114,0.0876378095065968,108.5,1098,4.385,1.145
636,247.5,0.0870775347912525,109.3,1091,4.428,1.157
637,247.886,0.0865172600759082,110.1,1084,4.471,1.169
638,248.272,0.0859389119826495,110.9,1077,4.515,1.181
639,248.658,0.0853424905114766,111.7,1070,4.559,1.192
640,249.044,0.0847641424182179,112.5,1062,4.602,1.203
641,249.43,0.0841496475691307,113.3,1055,4.646,1.214
642,249.816,0.0835532260979577,114.1,1047,4.69,1.224
643,250.202,0.0829387312488704,114.9,1039,4.733,1.234
644,250.588,0.0823242363997831,115.7,1032,4.777,1.244
645,250.974,0.0816916681727815,116.5,1024,4.82,1.253
646,251.36,0.0810590999457799,117.3,1016,4.862,1.263
647,251.746,0.0804084583408639,118.1,1008,4.905,1.272
648,252.132,0.079757816735948,118.9,999.5,4.946,1.28
649,252.518,0.079107175131032,119.7,991.3,4.988,1.288
650,252.904,0.0784384601482017,120.5,983,5.028,1.296
651,253.29,0.0777697451653714,121.2,974.7,5.068,1.304
652,253.676,0.0771010301825411,122,966.2,5.107,1.312
653,254.062,0.0764142418217965,122.8,957.7,5.146,1.319
654,254.448,0.0757274534610519,123.6,949.1,5.183,1.326
655,254.834,0.0750406651003072,124.4,940.4,5.22,1.333
656,255.22,0.0743538767395626,125.2,931.7,5.255,1.34
657,255.606,0.0736490150009037,125.9,922.9,5.29,1.346
658,255.992,0.0729260798843304,126.7,914,5.323,1.353
659,256.378,0.0722212181456714,127.5,905,5.355,1.359
660,256.764,0.0714982830290981,128.3,896,5.386,1.365
661,257.15,0.0707753479125248,129,887,5.416,1.371
662,257.536,0.0700524127959515,129.8,877.9,5.445,1.377
663,257.922,0.0693114043014639,130.6,868.7,5.472,1.382
664,258.308,0.0685884691848907,131.4,859.5,5.498,1.388
665,258.694,0.067847460690403,132.1,850.2,5.523,1.393
666,259.08,0.0671064521959154,132.9,840.9,5.546,1.398
667,259.466,0.0663473703235135,133.7,831.5,5.567,1.403
668,259.852,0.0656063618290258,134.4,822.1,5.588,1.408
669,260.238,0.0648472799566239,135.2,812.7,5.606,1.413
670,260.624,0.0640881980842219,136,803.2,5.624,1.418
671,261.01,0.06332911621182,136.7,793.7,5.639,1.423
672,261.396,0.062570034339418,137.5,784.2,5.654,1.428
673,261.782,0.0618109524670161,138.2,774.6,5.666,1.433
674,262.168,0.0610518705946141,139,765,5.677,1.437
675,262.554,0.0602747153442978,139.8,755.4,5.686,1.442
676,262.94,0.0595156334718959,140.5,745.8,5.694,1.447
677,263.326,0.0587384782215796,141.3,736.2,5.7,1.451
678,263.712,0.0579613229712633,142,726.5,5.705,1.456
679,264.098,0.0572022410988614,142.8,716.9,5.708,1.46
680,264.484,0.0564250858485451,143.5,707.2,5.709,1.464
681,264.87,0.0556479305982288,144.3,697.5,5.709,1.469
682,265.256,0.0548888487258268,145,687.8,5.707,1.473
683,265.642,0.0541116934755106,145.8,678.2,5.703,1.477
684,266.028,0.0533345382251943,146.5,668.5,5.698,1.482
685,266.414,0.052557382974878,147.3,658.8,5.691,1.486
686,266.8,0.051798301102476,148,649.2,5.682,1.49
687,267.186,0.0510211458521598,148.8,639.6,5.672,1.495
688,267.572,0.0502620639797578,149.5,629.9,5.661,1.499
689,267.958,0.0494849087294415,150.2,620.3,5.647,1.503
690,268.344,0.0487258268570396,151,610.7,5.633,1.507
691,268.73,0.0479667449846376,151.7,601.2,5.616,1.512
692,269.116,0.0472076631122357,152.5,591.6,5.598,1.516
693,269.502,0.0464485812398337,153.2,582.1,5.579,1.52
694,269.888,0.0456894993674318,153.9,572.7,5.558,1.524
695,270.274,0.0449304174950298,154.7,563.2,5.536,1.528
696,270.66,0.0441894090005422,155.4,553.8,5.512,1.533
697,271.046,0.0434303271281402,156.1,544.5,5.487,1.537
698,271.432,0.0426893186336526,156.9,535.1,5.46,1.541
699,271.818,0.041948310139165,157.6,525.9,5.432,1.545
700,272.204,0.0412073016446774,158.3,516.6,5.402,1.549
701,272.59,0.0404843665281041,159,507.5,5.371,1.553
702,272.976,0.0397433580336165,159.8,498.3,5.339,1.558
703,273.362,0.0390204229170432,160.5,489.3,5.306,1.562
704,273.748,0.0383155611783842,161.2,480.2,5.271,1.566
705,274.134,0.0375926260618109,161.9,471.3,5.235,1.57
706,274.52,0.036887764323152,162.6,462.4,5.198,1.574
707,274.906,0.036182902584493,163.4,453.5,5.16,1.578
708,275.292,0.0354780408458341,164.1,444.8,5.121,1.582
709,275.678,0.0347731791071751,164.8,436.1,5.08,1.586
710,276.064,0.0340863907464305,165.5,427.4,5.039,1.59
711,276.45,0.0333996023856859,166.2,418.8,4.996,1.595
712,276.836,0.0327308874028556,166.9,410.3,4.952,1.599
713,277.222,0.0320621724200253,167.6,401.9,4.908,1.603
714,277.608,0.031393457437195,168.4,393.6,4.862,1.607
715,277.994,0.0307247424543647,169.1,385.3,4.815,1.611
716,278.38,0.0300741008494488,169.8,377.1,4.768,1.615
717,278.766,0.0294234592445328,170.5,369,4.72,1.619
718,279.152,0.0287908910175312,171.2,361,4.671,1.623
719,279.538,0.0281583227905295,171.9,353,4.621,1.627
720,279.924,0.0275257545635279,172.6,345.2,4.57,1.631
721,280.31,0.0269112597144406,173.3,337.4,4.519,1.635
722,280.696,0.0262967648653533,174,329.7,4.467,1.639
723,281.082,0.025682270016266,174.7,322.1,4.414,1.643
724,281.468,0.0250858485450931,175.4,314.6,4.361,1.647
725,281.854,0.0244894270739201,176.1,307.2,4.307,1.65
726,282.24,0.0239110789806615,176.8,299.8,4.252,1.654
727,282.626,0.0233327308874029,177.5,292.6,4.197,1.658
728,283.012,0.0227543827941442,178.2,285.5,4.142,1.662
729,283.398,0.0221941080787999,178.9,278.4,4.086,1.666
730,283.784,0.02165190674137,179.6,271.5,4.029,1.67
731,284.17,0.0210916320260257,180.2,264.6,3.973,1.673
732,284.556,0.0205494306885957,180.9,257.8,3.916,1.677
733,284.942,0.0200253027290801,181.6,251.2,3.858,1.681
734,285.328,0.0195011747695644,182.3,244.6,3.801,1.685
735,285.714,0.0189770468100488,183,238.1,3.743,1.688
736,286.1,0.0184709922284475,183.7,231.8,3.684,1.692
737,286.486,0.0179775890113862,184.4,225.5,3.626,1.696
738,286.872,0.0174859931321164,185,219.3,3.567,1.699
739,287.258,0.0170016266040123,185.7,213.3,3.509,1.703
740,287.644,0.0165244894270739,186.4,207.3,3.45,1.707
741,288.03,0.0160563889390927,187.1,201.4,3.391,1.71
742,288.416,0.0155955178022772,187.8,195.7,3.332,1.714
743,288.802,0.0151436833544189,188.4,190,3.273,1.717
744,289.188,0.0146990782577264,189.1,184.4,3.214,1.721
745,289.574,0.014263509849991,189.8,179,3.156,1.724
746,289.96,0.0138351707934213,190.4,173.6,3.097,1.728
747,290.346,0.0134140610880173,191.1,168.3,3.038,1.731
748,290.732,0.0130019880715706,191.8,163.1,2.979,1.734
749,291.118,0.0125971444062895,192.5,158.1,2.921,1.738
750,291.504,0.0122013374299657,193.1,153.1,2.863,1.741
751,291.89,0.0118127598048075,193.8,148.2,2.805,1.744
752,292.276,0.0114332188686065,194.5,143.5,2.747,1.748
753,292.662,0.0110590999457799,195.1,138.8,2.69,1.751
754,293.048,0.0106958250497018,195.8,134.2,2.632,1.754
755,293.434,0.010337972166998,196.5,129.8,2.575,1.757
756,293.82,0.0099891559732514,197.1,125.4,2.519,1.761
757,294.206,0.00964756913067052,197.8,121.1,2.462,1.764
758,294.592,0.00931321163925537,198.4,116.9,2.406,1.767
759,294.978,0.0089878908367974,199.1,112.8,2.351,1.77
760,295.364,0.00866979938550515,199.8,108.8,2.296,1.773
761,295.75,0.0083571299475872,200.4,104.9,2.241,1.776
762,296.136,0.00805349719862642,201.1,101.1,2.187,1.779
763,296.522,0.00775709380083137,201.7,97.41,2.133,1.782
764,296.908,0.00746972709199349,202.4,93.79,2.08,1.785
765,297.294,0.00718778239652991,203,90.25,2.027,1.788
766,297.68,0.00691306705223206,203.7,86.81,1.975,1.791
767,298.066,0.00664558105909994,204.3,83.46,1.923,1.794
768,298.452,0.00638532441713356,205,80.19,1.872,1.796
769,298.838,0.00613229712633291,205.6,77.02,1.821,1.799
770,299.224,0.00588469184890656,206.3,73.93,1.771,1.802
771,299.61,0.00564612326043738,206.9,70.92,1.722,1.805
772,299.996,0.00541297668534249,207.6,68,1.673,1.807
773,300.382,0.00518705946141334,208.2,65.16,1.625,1.81
774,300.768,0.00496656425085849,208.9,62.4,1.578,1.813
775,301.154,0.00475329839146937,209.5,59.73,1.531,1.816
776,301.54,0.00454726188324598,210.2,57.13,1.484,1.818
777,301.926,0.00434664738839689,210.8,54.62,1.439,1.821
778,302.312,0.0041514549069221,211.4,52.18,1.394,1.823
779,302.698,0.00396349177661305,212.1,49.82,1.35,1.826
780,303.084,0.00378095065967829,212.7,47.53,1.306,1.828
781,303.47,0.00360383155611784,213.4,45.32,1.264,1.831
782,303.856,0.00343394180372312,214,43.18,1.222,1.833
783,304.242,0.00326947406470269,214.6,41.11,1.18,1.836
784,304.628,0.00311042833905657,215.3,39.11,1.14,1.838
785,305.014,0.00295680462678475,215.9,37.18,1.1,1.841
786,305.4,0.00280860292788722,216.6,35.32,1.061,1.843
787,305.786,0.00266401590457256,217.2,33.52,1.022,1.845
788,306.172,0.00252665823242364,217.8,31.8,0.9846,1.847
789,306.558,0.00239472257364901,218.5,30.13,0.9477,1.85
790,306.944,0.00226640159045726,219.1,28.53,0.9115,1.852
791,307.33,0.0021435026206398,219.7,26.99,0.8761,1.854
792,307.716,0.00202602566419664,220.4,25.51,0.8414,1.856
793,308.102,0.00191216338333635,221,24.09,0.8075,1.858
794,308.488,0.00180444605096693,221.6,22.72,0.7744,1.86
795,308.874,0.00170034339418037,222.2,21.42,0.7419,1.862
796,309.26,0.0016007590818724,222.9,20.16,0.7103,1.864
797,309.646,0.00150533164648473,223.5,18.97,0.6794,1.866
798,310.032,0.00141406108801735,224.1,17.82,0.6492,1.868
799,310.418,0.00132694740647027,224.8,16.73,0.6198,1.87
800,310.804,0.00124380986806434,225.4,15.68,0.5911,1.872
801,311.19,0.00116446773902042,226,14.69,0.5632,1.874
802,311.576,0.00108910175311766,226.6,13.74,0.536,1.876
803,311.962,0.00101735044279776,227.3,12.84,0.5095,1.877
804,312.348,9.49033074281583E-4,227.9,11.98,0.4838,1.879
805,312.734,8.84330381348274E-4,228.5,11.17,0.4588,1.881
806,313.12,8.23061630218688E-4,229.1,10.39,0.4345,1.882
807,313.506,7.65046087113681E-4,229.8,9.664,0.4109,1.884
808,313.892,7.10103018254112E-4,230.4,8.974,0.388,1.885
809,314.278,6.58413157419122E-4,231,8.323,0.3659,1.886
810,314.664,6.09615037050425E-4,231.6,7.709,0.3444,1.888
811,315.05,5.63708657148021E-4,232.3,7.132,0.3236,1.889
812,315.436,5.2069401771191E-4,232.9,6.59,0.3034,1.89
813,315.822,4.80209651183806E-4,233.5,6.082,0.284,1.891
814,316.208,4.42617025121995E-4,234.1,5.607,0.2652,1.892
815,316.594,4.07373938189047E-4,234.7,5.164,0.2471,1.893
816,316.98,3.74661124164106E-4,235.4,4.751,0.2296,1.894
817,317.366,3.44297849268028E-4,236,4.368,0.2128,1.895
818,317.752,3.1610337972167E-4,236.6,4.014,0.1965,1.896
819,318.138,2.90077715525032E-4,237.2,3.687,0.181,1.897
820,318.524,2.66220856678113E-4,237.8,3.386,0.166,1.898
821,318.91,2.44532803180915E-4,238.5,3.11,0.1516,1.898
822,319.296,2.24471353696006E-4,239.1,2.859,0.1378,1.899
823,319.682,2.06578709560817E-4,239.7,2.631,0.1246,1.9
824,320.068,1.90312669437918E-4,240.3,2.425,0.112,1.9
825,320.454,1.7563708657148E-4,241,2.24,0.09999,1.901
826,320.84,1.6266040122899E-4,241.6,2.076,0.08851,1.901
827,321.226,1.51238026387132E-4,242.2,1.931,0.07758,1.902
828,321.612,1.41279595156335E-4,242.8,1.804,0.06719,1.903
829,321.998,1.32712814024941E-4,243.4,1.695,0.05733,1.904
830,322.384,1.25483462859208E-4,244.1,1.603,0.04799,1.905
831,322.77,1.1948310139165E-4,244.7,1.526,0.03916,1.906
832,323.156,1.14693656244352E-4,245.3,1.464,0.03082,1.908
833,323.542,1.11024760527743E-4,245.9,1.417,0.02296,1.912
834,323.928,1.08404120730164E-4,246.5,1.382,0.01557,1.92
835,324.314,1.0675944333996E-4,247.2,1.36,0.008627,1.94
836,324.7,1.06072654979216E-4,247.8,1.35,0.002151,2.08
837,325.086,1.06235315380445E-4,248.4,1.351,0.003989,-1.351
838,325.472,1.07229351165733E-4,249,1.362,0.009646,-1.293
839,325.858,1.08964395445509E-4,249.6,1.382,0.01491,-1.279
840,326.244,1.11404301463944E-4,250.3,1.412,0.01979,-1.274
841,326.63,1.1447677570938E-4,250.9,1.449,0.02429,-1.272
842,327.016,1.1814567142599E-4,251.5,1.494,0.02842,-1.271
843,327.402,1.22356768480029E-4,252.1,1.545,0.03219,-1.271
844,327.788,1.2707392011567E-4,252.8,1.603,0.03561,-1.271
845,328.174,1.32224832821254E-4,253.4,1.667,0.0387,-1.272
846,328.56,1.3775528646304E-4,254,1.735,0.04145,-1.274
847,328.946,1.43665281041027E-4,254.6,1.808,0.04388,-1.275
848,329.332,1.49864449665642E-4,255.3,1.885,0.04601,-1.277
849,329.718,1.56352792336888E-4,255.9,1.965,0.04783,-1.279
850,330.104,1.63058015543105E-4,256.5,2.048,0.04937,-1.282
851,330.49,1.69943972528466E-4,257.1,2.134,0.05064,-1.285
852,330.876,1.76992589915055E-4,257.8,2.221,0.05164,-1.288
853,331.262,1.84167720947045E-4,258.4,2.31,0.05239,-1.291
854,331.648,1.91397072112778E-4,259,2.4,0.0529,-1.294
855,332.034,1.98626423278511E-4,259.7,2.491,0.05318,-1.298
856,332.42,2.06036508223387E-4,260.3,2.582,0.05323,-1.302
857,332.806,2.1326585938912E-4,260.9,2.673,0.05308,-1.306
858,333.192,2.20675944333996E-4,261.6,2.763,0.05273,-1.311
859,333.578,2.27724561720586E-4,262.2,2.853,0.0522,-1.316
860,333.964,2.34953912886318E-4,262.8,2.942,0.05149,-1.322
861,334.35,2.42002530272908E-4,263.5,3.029,0.05061,-1.328
862,334.736,2.48870413880354E-4,264.1,3.115,0.04958,-1.335
863,335.122,2.55557563708657E-4,264.7,3.199,0.04841,-1.342
864,335.508,2.62063979757817E-4,265.4,3.28,0.0471,-1.349
865,335.894,2.68389662027833E-4,266,3.36,0.04567,-1.358
866,336.28,2.74534610518706E-4,266.6,3.436,0.04413,-1.367
867,336.666,2.80498825230436E-4,267.3,3.51,0.04248,-1.378
868,337.052,2.86282306163022E-4,267.9,3.581,0.04073,-1.389
869,337.438,2.91704319537321E-4,268.6,3.649,0.03891,-1.401
870,337.824,2.96764865353334E-4,269.2,3.714,0.037,-1.415
871,338.21,3.01644677390204E-4,269.9,3.775,0.03504,-1.431
872,338.596,3.06343755647931E-4,270.5,3.833,0.03302,-1.449
873,338.982,3.1068136634737E-4,271.2,3.887,0.03095,-1.469
874,339.368,3.14657509488523E-4,271.8,3.937,0.02885,-1.492
875,339.754,3.18452918850533E-4,272.4,3.984,0.02672,-1.518
876,340.14,3.21886860654256E-4,273.1,4.027,0.02459,-1.55
877,340.526,3.24959334899693E-4,273.8,4.066,0.02245,-1.587
878,340.912,3.27851075365986E-4,274.4,4.101,0.02032,-1.631
879,341.298,3.30200614494849E-4,275.1,4.132,0.01823,-1.685
880,341.684,3.32369419844569E-4,275.7,4.159,0.0162,-1.752
881,342.07,3.34357491415145E-4,276.4,4.182,0.01425,-1.838
882,342.456,3.35803361648292E-4,277,4.202,0.01243,-1.948
883,342.842,3.37068498102295E-4,277.7,4.217,0.01081,-2.091
884,343.228,3.37972166998012E-4,278.4,4.228,0.009472,-2.276
885,343.614,3.38514368335442E-4,279,4.236,0.008549,-2.509
886,344,3.38875835893729E-4,279.7,4.24,0.00816,-2.775
887,344.386,3.38875835893729E-4,280.3,4.24,0.008355,-3.043
888,344.772,3.38514368335442E-4,281,4.236,0.009071,3.002
889,345.158,3.37972166998012E-4,281.7,4.228,0.01017,2.811
890,345.544,3.37068498102295E-4,282.4,4.218,0.01153,2.662
891,345.93,3.35803361648292E-4,283,4.203,0.01303,2.548
892,346.316,3.34357491415145E-4,283.7,4.185,0.01461,2.459
893,346.702,3.32730887402856E-4,284.4,4.164,0.01623,2.389
894,347.088,3.30742815832279E-4,285.1,4.139,0.01785,2.332
895,347.474,3.28574010482559E-4,285.7,4.112,0.01946,2.285
896,347.86,3.26043737574553E-4,286.4,4.081,0.02104,2.245
897,348.246,3.23332730887403E-4,287.1,4.048,0.02259,2.211
898,348.632,3.2044099042111E-4,287.8,4.011,0.02409,2.182
899,349.018,3.17368516175673E-4,288.5,3.972,0.02554,2.156
900,349.404,3.1393457437195E-4,289.2,3.93,0.02693,2.133
901,349.79,3.10500632568227E-4,289.9,3.886,0.02826,2.112
902,350.176,3.06705223206217E-4,290.6,3.84,0.02953,2.093
903,350.562,3.02729080065064E-4,291.3,3.791,0.03074,2.076
904,350.948,2.98752936923911E-4,292,3.74,0.03189,2.059
905,351.334,2.94415326224471E-4,292.7,3.687,0.03296,2.044
906,351.72,2.90077715525032E-4,293.4,3.632,0.03397,2.03
907,352.106,2.85559371046449E-4,294.1,3.576,0.03492,2.016
908,352.492,2.80860292788722E-4,294.8,3.518,0.0358,2.004
909,352.878,2.76161214530996E-4,295.5,3.458,0.0366,1.991
910,353.264,2.71281402494126E-4,296.2,3.397,0.03735,1.979
911,353.65,2.66220856678113E-4,296.9,3.334,0.03802,1.968
912,354.036,2.611603108621E-4,297.6,3.271,0.03863,1.957
913,354.422,2.55919031266944E-4,298.4,3.206,0.03918,1.946
914,354.808,2.50677751671787E-4,299.1,3.141,0.03966,1.935
915,355.194,2.45436472076631E-4,299.8,3.074,0.04007,1.925
916,355.58,2.40014458702331E-4,300.5,3.007,0.04043,1.915
917,355.966,2.34592445328032E-4,301.3,2.939,0.04072,1.905
918,356.352,2.29170431953732E-4,302,2.871,0.04096,1.895
